ISO Week Number,1,1.5,2,2.5,3,3.5,4,5,6,7,7.5,8,8.5,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,41.5,42,42.5,43,43.5,44,44.5,45,46,47,48,49,49.5,50,50.5,51,51.5,52,52.5
Start Date (Earliest),12/29,01/01,01/05,01/08,01/12,01/15,01/19,01/26,02/02,02/09,02/12,02/16,02/19,02/23,03/01,03/08,03/15,03/22,03/29,04/05,04/12,04/19,04/26,05/03,05/10,05/17,05/24,05/31,06/07,06/14,06/21,06/28,07/05,07/12,07/19,07/26,08/02,08/09,08/16,08/23,08/30,09/06,09/13,09/20,09/27,10/04,10/07,10/11,10/14,10/18,10/21,10/25,10/28,11/01,11/08,11/15,11/22,11/29,12/02,12/06,12/09,12/13,12/16,12/20,12/23
Start Date (Latest),01/04,01/07,01/11,01/14,01/18,01/21,01/25,02/01,02/08,02/15,02/18,02/22,02/25,03/01,03/08,03/15,03/22,03/29,04/05,04/12,04/19,04/26,05/03,05/10,05/17,05/24,05/31,06/07,06/14,06/21,06/28,07/05,07/12,07/19,07/26,08/02,08/09,08/16,08/23,08/30,09/06,09/13,09/20,09/27,10/04,10/11,10/14,10/18,10/21,10/25,10/28,11/01,11/04,11/08,11/15,11/22,11/29,12/06,12/09,12/13,12/16,12/20,12/23,12/27,12/30
Start Date Range,12/29 - 01/04,01/01 - 01/07,01/05 - 01/11,01/08 - 01/14,01/12 - 01/18,01/15 - 01/21,01/19 - 01/25,01/26 - 02/01,02/02 - 02/08,02/09 - 02/15,02/12 - 02/18,02/16 - 02/22,02/19 - 02/25,02/23 - 03/01,03/01 - 03/08,03/08 - 03/15,03/15 - 03/22,03/22 - 03/29,03/29 - 04/05,04/05 - 04/12,04/12 - 04/19,04/19 - 04/26,04/26 - 05/03,05/03 - 05/10,05/10 - 05/17,05/17 - 05/24,05/24 - 05/31,05/31 - 06/07,06/07 - 06/14,06/14 - 06/21,06/21 - 06/28,06/28 - 07/05,07/05 - 07/12,07/12 - 07/19,07/19 - 07/26,07/26 - 08/02,08/02 - 08/09,08/09 - 08/16,08/16 - 08/23,08/23 - 08/30,08/30 - 09/06,09/06 - 09/13,09/13 - 09/20,09/20 - 09/27,09/27 - 10/04,10/04 - 10/11,10/07 - 10/14,10/11 - 10/18,10/14 - 10/21,10/18 - 10/25,10/21 - 10/28,10/25 - 11/01,10/28 - 11/04,11/01 - 11/08,11/08 - 11/15,11/15 - 11/22,11/22 - 11/29,11/29 - 12/06,12/02 - 12/09,12/06 - 12/13,12/09 - 12/16,12/13 - 12/20,12/16 - 12/23,12/20 - 12/27,12/23 - 12/30
Length (Days),3,3,3,3,3,3,5,5,5,3,3,3,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,3,3,3,3,3,3,3,5,5,5,5,3,3,3,3,3,3,3,3
Series 1,Shrine Maiden,New Year 2,New Year,New Year,New Year,,,Winter Camping,Setsubun,Valentines,Valentine's,First Love,B.A.C Innocence,Dolls Day,Precious,Precious,Wedding,Chinese,Easter,,Dreamland,Shelter,Magician,Pajamas,Cooking,White Coat,Fairy,Fairy,,Summer Vacation 2,Summer Vacation,Yukata,Tanabata,Midsummer Beach,2_wEi Swimsuit,Marine,B.A.C Swimsuit,Nighttime Pool,Mermaid,,Knitting,Police,2_wEi Autumn,Athletics Festival,Kanade Idol,Nurse,Nurse,Angel & Devil Hinata,Angel & Devil Suzune,Spooky Night,Halloween,Trick/Treat,,,Gemstones,Gemstones,Hot Spring,X'mas,X'mas,2_wEi Christmas,White X'mas,White X'mas,2_wEi HAPPY X'MAS,X'mas Date,Winter Date
Series 2,,,,,,,,,,B.A.C Valentine's,2_wEi Valentines,,,,,,,Wedding,,,,Rainy Season,Circus,,,,,Mermaid,,,2_wEi Summer Leisure,,2_wEi Yukata,,Kanade Swimsuit,Pirate,,,,,,,,Athletics Festival 2,Kanade Maid,,,Angel & Devil Yukina,Angel & Devil Anri,Horror,,,,,,,,,,,,,B.A.C Noel,,
Series 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Angel & Devil Akari,Angel & Devil Ayame,,,,,,,,,,,,,,,,
Series 4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Angel & Devil Hotaru,Angel & Devil Mei,,,,,,,,,,,,,,,,
ID Ranges,755-758,"804-805, 806-807",248-250,242-244,255-256,,,"750-751, 765-767",557-558,"261-264, 761-763","269-272, 562-563",810-812,814-816,450-453,"586, 578-580","577, 583-585",121-123,"323-326, 331-334",768-770,,572-573,"341-343, 599-600","373-376, 606","363-366, 368-371",560-561,461-464,133-135,"661, 662",,"727-729, 789-791","152-155, 504-505","164-167, 359-362","785-787, 739-740","355-356, 610-611","698-699, 605","139-142, 146-149",703-705,508-511,"136-137, 351-353",,796-798,669-672,628-629,"529-532, 781-784","571, 574",635-638,"616-617, 619-620","448-449, 471-472,
495-496, 499-500","380-381, 400-401,
424-425, 437-438","741-743, 793-794","190-193, 194-197",384-387,,,"614-615, 631-632","714-715, 817-818","214-217, 218-221",227-230,236-239,552-553,639-641,752-754,"799-800, 801-803",418-421,431-434
Banner Text (ja),「巫女さん」シリーズ,「迎春」&「初詣」シリーズ,「謹賀新年」シリーズ,「ゆく年くる年」シリーズ,「お正月」シリーズ,,,「冬キャンプ」シリーズ,「節分」シリーズ,"ハニプラ & B.A.C
「バレンタイン」シリーズ","ハニプラ & 2_wEi
「バレンタイン」シリーズ",「初恋」シリーズ,"B.A.C
「Innocence」シリーズ",「ひな祭り」シリーズ,「Precious」シリーズ,「Precious」シリーズ,「ウェディング」シリーズ,"「中華」&
「ウェディング」シリーズ",「イースター」シリーズ,,「夢の世界」シリーズ,"ハニプラ「雨宿り」&
2_wEi「梅雨」シリーズ","「マジシャン」シリーズ
&「サーカス」ひなた",「パジャマ」シリーズ,「料理」シリーズ,「白衣」シリーズ,「妖精」シリーズ,"「妖精」彩芽 &
「人魚」ほたる",,「サマーバカンス」シリーズ,"ハニプラ「夏休み」&
2_wEi「夏のレジャー」シリーズ",「浴衣」シリーズ,"ハニプラ「七夕」&
2_wEi「浴衣」シリーズ",「真夏の海」シリーズ,"2_wEi & かなで
「水着」シリーズ","「MARINE」&
「パイレーツ」シリーズ","B.A.C
「水着」シリーズ",「夜のプール」シリーズ,「人魚」シリーズ,,「編み物」シリーズ,「ポリス」シリーズ,"2_wEi
「オータム」シリーズ",「体育祭」シリーズ,"かなで
「アイドル」&「メイド」",「ナース」シリーズ,「ナース」シリーズ,"「天使」&
「悪魔」シリーズ","「天使」&
「悪魔」シリーズ","2_wEi「ホラー」&
B.A.C「Spooky Night」シリーズ",「ハロウィン」シリーズ,"「Trick」&
「Treat」シリーズ",,,「宝石」シリーズ,「宝石」シリーズ,「湯けむり」シリーズ,「X'mas」シリーズ,「X'mas」シリーズ,"2_wEi
「クリスマス」シリーズ",「White X'mas」シリーズ,「White X'mas」シリーズ,"2_wEi「HAPPY X'MAS」&
B.A.C「Noel」シリーズ",「X'mas デート」シリーズ,「冬 デート」シリーズ
